Depot,Code,long,lat,address,city,area,PostCode
Pentalver Southampton,9087,50.8877,-1.3715,"Dock Gate 10 West Bay Road, Western Docks",Southampton,Southampton,SO15 1AW
Seafast Celsius,9088,51.9515,1.3342,"Cold Store Road, The Port of Felixstowe",Felixstowe,Suffolk,IP11 3BG
Wincanton-Greenham Common,9089,51.3855,-1.3056,Apron Road New Greenham Park,Newbury,West Berkshire,RG19 6HN
BIFT (Birmingham Intermodal Fr,9090,52.6172,-1.6839,Ansley Hall Drive Birch Coppice Business Park,Tamworth,Staffordshire,B78 1SQ
Freightliner Bristol,9091,51.4563,-2.5974,"South Liberty Lane  Bedminster, Bristol,",Bristol,"Bristol, City of",BS3
MSC GATE,9092,NULL,NULL,NULL,Bremerhaven,Bremen (Hansestadt),NULL
Eldapoint Kirkby,9093,53.3996,-2.9689,Charley wood road Knowsley ind park north,Liverpool,Liverpool,L33 7SG
London Gateway,9094,51.50847115,0.462416404,The Manorway,London Gateway Port,Thurrock,NULL
DP World 1,9095,51.5187,0.4645,The Manorway,London Gateway Port,Thurrock,NULL
DP World London Gateway,9097,51.5187,0.4645,NULL,London Gateway Port,Thurrock,SS17 9DY
DP World London,9096,51.3831,-0.3355,The Manor Way,London Gateway Port,Thurrock,NULL
PD Logistics,9098,53.5797,-0.6263,"Midland Rd,",Scunthorpe,North Lincolnshire,DN16 1DG
Pentalver London Gateway,9099,51.5213,0.4543,NULL,Stanford-le-Hope,Thurrock,SS17 9PD
Concare,9100,56.0241,-3.7046,c/o The Dock,Grangemouth,Falkirk,F3 8UE
W H Malcolms,9101,55.9345,-4.7433,"2 BURNBRAE ROAD, LINWOOD INDUSTRIAL ESTATE",Greenock,Inverclyde,PA3
Burton Road and Rail,9102,52.8049,-1.6349,"Derwent Park industrial park Hawkins Lane,",Burton upon Trent,Staffordshire,DE14 1QA
CSM Grays ,9103,51.4953,0.3225,609 London Road,Grays,Thurrock,RM20 3BJ
Eldapoint Southampton,9104,50.8877,-1.3715,Eling Wharf Totton High Street,Southampton,Southampton,SO40 4JN
